3607,0,0
2496,4,0
1270,1,0
2802,3,0
3227,3,0
4591,6,1
2642,1,0
2282,5,0
4173,2,0
3875,4,0
3514,7,0
2231,7,1
3125,1,1
3969,2,0
4821,5,1
2620,6,0
237,2,0
4060,2,0
526,2,0
1985,4,0
1998,2,0
4769,5,0
1143,7,0
946,2,0
1857,3,1
3388,4,0
2924,5,0
653,6,7
4215,0,1
2893,6,0
2897,6,0
2345,0,0
3178,4,0
4090,6,11
1534,6,0
915,6,0
1806,7,4
3381,0,0
4922,4,1
3267,7,0
3503,7,0
1945,1,0
4316,1,1
1264,2,0
612,6,1
4844,1,0
4263,2,1
3426,4,0
4113,0,0
1294,1,0
800,2,0
3631,4,0
415,6,1
4049,7,1
391,3,0
2538,0,0
4018,4,0
4266,1,0
2189,3,1
3333,4,5
1865,5,6
4012,2,0
1736,2,0
4440,7,0
858,5,1
2726,4,0
3341,0,0
1509,0,1
1041,1,0
2636,3,2
3083,4,0
986,6,1
3066,1,0
141,4,0
1752,6,0
2764,7,0
1140,0,0
2140,0,0
3242,1,0
2735,4,0
497,5,0
1316,7,2
4041,0,0
2437,4,0
1072,0,1
3241,1,0
2268,6,0
3427,5,0
1058,3,0
1749,4,2
345,6,0
3047,4,0
4391,5,0
1393,7,0
2849,4,0
2637,6,0
4461,5,0
3272,6,0
3274,6,1
3997,1,0
1850,4,1
419,6,0
2581,1,0
1204,3,5
1641,4,0
2858,4,28
379,1,0
1912,2,0
1243,3,1
3767,5,1
2445,7,0
3599,7,15
143,1,0
1126,2,1
3326,4,0
4054,0,0
3102,2,0
1949,4,0
3315,0,0
2948,1,4
630,2,0
4470,5,33
4971,0,0
3739,3,0
2111,3,1
1933,4,0
1709,6,14
518,7,0
1487,7,28
164,0,1
343,0,1
390,3,1
3320,5,25
4488,2,1
3633,2,1
2272,3,0
2761,4,0
2855,4,13
3260,6,0
2770,6,0
934,0,0
698,0,15
3354,6,0
1611,0,0
4477,2,1
3582,2,1
3480,6,0
4995,2,8
2522,6,48
593,7,16
2732,5,48
3810,6,27
647,3,32
3138,2,18
3318,4,47
1644,5,41
4677,7,40
3032,3,16
2419,5,10
4667,7,23
4115,6,32
4318,4,35
823,6,17
4213,4,19
3743,4,41
4199,4,65
2123,7,59
1245,4,25
3382,3,47
2222,6,50
2088,1,38
4181,6,38
4759,6,36
4444,6,62
3240,7,46
4166,2,44
235,6,84
1165,7,72
4055,6,115
