3607,0,0
2496,4,0
1270,1,0
4591,1,1
2802,3,0
3227,3,0
2642,1,0
2604,3,2
2282,5,0
2231,0,1
4173,2,0
3875,4,0
3514,7,0
3969,2,0
3125,3,1
2620,6,0
4821,6,1
237,2,0
1730,3,2
3595,6,5
1456,0,4
4060,2,0
526,2,0
4090,2,6
1985,4,0
1998,2,0
4898,3,2
1547,3,5
4769,5,0
1143,7,0
1138,0,8
946,2,0
4904,2,8
3388,4,0
1857,4,1
1081,4,8
169,4,8
2924,5,0
653,6,7
579,7,9
561,2,7
4215,3,1
3522,3,2
2893,6,0
2897,6,0
2345,0,0
1329,2,5
4413,6,5
1806,1,2
3520,2,5
3811,2,8
3178,4,0
4584,5,1
2799,7,9
2058,2,8
1534,6,0
3116,3,10
915,6,0
2276,6,5
3381,0,0
4922,0,1
32,2,4
1601,3,3
3267,7,0
3503,7,0
737,0,12
1945,1,0
612,1,1
2877,1,3
1264,2,0
4316,2,1
4844,1,0
4635,1,3
4263,2,1
2522,2,13
3426,4,0
1966,6,15
4113,0,0
415,0,1
1294,1,0
800,2,0
1420,2,7
2449,2,10
4734,2,18
3631,4,0
4049,4,1
910,4,18
9,5,3
2457,6,15
4199,6,15
2160,7,16
4186,0,19
391,3,0
1982,3,5
1757,3,13
3798,6,11
2538,0,0
2410,1,17
3960,2,4
4018,4,0
598,5,3
2980,5,13
3575,7,16
2973,0,21
4266,1,0
2189,1,1
4942,1,18
3333,2,5
2798,2,17
1865,3,6
2239,5,3
990,7,9
2257,7,16
88,0,19
3822,0,20
4012,2,0
1736,2,0
2871,2,4
3861,2,8
2554,2,16
480,4,18
2816,6,15
367,6,18
4440,7,0
858,0,1
3567,0,16
1746,1,19
251,2,4
4969,3,5
4306,4,4
2711,4,19
4960,5,13
2354,6,11
847,6,15
707,2,17
2726,4,0
4237,5,13
3341,0,0
986,0,1
1180,0,16
1041,1,0
1509,1,1
525,2,8
3220,2,17
2636,3,2
2843,3,5
635,3,16
3083,4,0
3090,4,23
743,4,25
1934,5,9
2021,7,10
936,7,19
2204,7,21
699,7,22
4337,0,4
3066,1,0
2481,2,9
4350,2,14
3537,2,23
141,4,0
3209,5,19
1752,6,0
3804,6,20
2764,7,0
2779,7,13
1140,0,0
2140,0,0
4234,0,12
3524,0,19
3242,1,0
1316,1,2
1351,1,3
1722,2,17
4200,2,23
4542,3,7
2735,4,0
1682,4,8
807,4,8
4465,4,8
